date,pnl,trades,wins,win_rate,cumulative_pnl
2023-09-22,-10.0,2,1,0.5,-10.0
2023-09-25,1405.0,4,2,0.5,1395.0
2023-09-26,-60.0,2,1,0.5,1335.0
2023-09-27,-635.0,7,4,0.5714285714285714,700.0
2023-09-28,105.0,4,2,0.5,805.0
2023-09-29,132.5,1,1,1.0,937.5
2023-10-02,640.0,2,2,1.0,1577.5
2023-10-03,1082.5,6,4,0.6666666666666666,2660.0
2023-10-04,-440.0,3,1,0.3333333333333333,2220.0
2023-10-05,-535.0,2,0,0.0,1685.0
2023-10-06,-915.0,3,0,0.0,770.0
2023-10-09,-802.5,3,0,0.0,-32.5
2023-10-16,-520.0,4,0,0.0,-552.5
2023-10-17,-55.0,1,0,0.0,-607.5
2023-10-20,-42.5,1,0,0.0,-650.0
2023-10-23,-1277.5,3,1,0.3333333333333333,-1927.5
2023-10-25,-72.5,7,3,0.42857142857142855,-2000.0
2023-10-26,-507.5,4,1,0.25,-2507.5
2023-10-27,1020.0,6,4,0.6666666666666666,-1487.5
2023-10-30,875.0,5,3,0.6,-612.5
2023-10-31,-497.5,2,0,0.0,-1110.0
2023-11-01,-85.0,2,1,0.5,-1195.0
2023-11-02,-790.0,8,2,0.25,-1985.0
2023-11-03,-32.5,4,2,0.5,-2017.5
2023-11-06,-315.0,3,0,0.0,-2332.5
2023-11-07,-440.0,3,1,0.3333333333333333,-2772.5
2023-11-08,-97.5,2,1,0.5,-2870.0
2023-11-09,52.5,2,1,0.5,-2817.5
2023-11-10,-1850.0,5,1,0.2,-4667.5
2023-11-13,380.0,4,3,0.75,-4287.5
2023-11-14,682.5,6,3,0.5,-3605.0
2023-11-16,-585.0,2,0,0.0,-4190.0
2023-11-17,-267.5,1,0,0.0,-4457.5
2023-11-20,22.5,3,2,0.6666666666666666,-4435.0
2023-11-21,115.0,2,1,0.5,-4320.0
2023-11-22,130.0,4,3,0.75,-4190.0
2023-11-23,-130.0,1,0,0.0,-4320.0
2023-11-24,-30.0,1,0,0.0,-4350.0
2023-11-27,-30.0,1,0,0.0,-4380.0
2023-11-28,330.0,4,2,0.5,-4050.0
2023-11-29,330.0,4,2,0.5,-3720.0
2023-11-30,-317.5,1,0,0.0,-4037.5
2023-12-01,5.0,4,2,0.5,-4032.5
2023-12-04,117.5,4,3,0.75,-3915.0
2023-12-05,-570.0,4,2,0.5,-4485.0
2023-12-06,-540.0,3,2,0.6666666666666666,-5025.0
2023-12-08,230.0,4,3,0.75,-4795.0
2023-12-11,102.5,2,1,0.5,-4692.5
2023-12-12,665.0,7,5,0.7142857142857143,-4027.5
2023-12-13,175.0,5,1,0.2,-3852.5
2023-12-14,3557.5,6,3,0.5,-295.0
2024-01-02,337.5,5,3,0.6,42.5
2024-01-03,-562.5,5,2,0.4,-520.0
2024-01-04,-627.5,3,1,0.3333333333333333,-1147.5
2024-01-05,-50.0,5,3,0.6,-1197.5
2024-01-08,-460.0,2,0,0.0,-1657.5
2024-01-09,-310.0,2,0,0.0,-1967.5
2024-01-11,532.5,1,1,1.0,-1435.0
2024-01-12,1200.0,5,4,0.8,-235.0
2024-01-15,-72.5,2,0,0.0,-307.5
2024-01-16,-735.0,2,0,0.0,-1042.5
2024-01-18,652.5,2,2,1.0,-390.0
2024-01-19,-405.0,1,0,0.0,-795.0
2024-01-22,-305.0,1,0,0.0,-1100.0
2024-01-23,-42.5,1,0,0.0,-1142.5
2024-01-24,507.5,1,1,1.0,-635.0
2024-01-25,-470.0,4,1,0.25,-1105.0
2024-01-26,102.5,2,2,1.0,-1002.5
2024-01-29,-652.5,3,1,0.3333333333333333,-1655.0
2024-01-31,182.5,1,1,1.0,-1472.5
2024-02-01,635.0,3,2,0.6666666666666666,-837.5
2024-02-02,-422.5,2,1,0.5,-1260.0
2024-02-05,-157.5,4,1,0.25,-1417.5
2024-02-06,-292.5,1,0,0.0,-1710.0
2024-02-07,-435.0,2,1,0.5,-2145.0
2024-02-08,-55.0,1,0,0.0,-2200.0
2024-02-12,-3847.5,7,1,0.14285714285714285,-6047.5
2024-02-14,-90.0,3,1,0.3333333333333333,-6137.5
2024-02-15,-120.0,4,1,0.25,-6257.5
2024-02-16,410.0,3,3,1.0,-5847.5
2024-02-19,-115.0,3,1,0.3333333333333333,-5962.5
2024-02-20,1717.5,4,4,1.0,-4245.0
2024-02-21,85.0,3,2,0.6666666666666666,-4160.0
2024-02-22,242.5,4,2,0.5,-3917.5
2024-02-23,-117.5,1,0,0.0,-4035.0
2024-02-26,-52.5,3,1,0.3333333333333333,-4087.5
2024-02-27,-155.0,1,0,0.0,-4242.5
2024-03-01,365.0,2,1,0.5,-3877.5
2024-03-04,432.5,1,1,1.0,-3445.0
2024-03-05,-657.5,4,1,0.25,-4102.5
2024-03-06,1752.5,7,4,0.5714285714285714,-2350.0
2024-03-07,-335.0,2,0,0.0,-2685.0
2024-03-08,-1120.0,4,0,0.0,-3805.0
2024-03-14,-172.5,2,1,0.5,-3977.5
2024-03-15,-62.5,5,3,0.6,-4040.0
2024-03-18,55.0,4,3,0.75,-3985.0
2024-03-19,2.5,2,1,0.5,-3982.5
2024-03-20,172.5,3,1,0.3333333333333333,-3810.0
2024-03-21,-190.0,3,2,0.6666666666666666,-4000.0
2024-03-22,-30.0,1,0,0.0,-4030.0
2024-03-25,32.5,1,1,1.0,-3997.5
2024-03-27,-312.5,5,2,0.4,-4310.0
2024-04-01,-340.0,3,0,0.0,-4650.0
2024-04-02,-212.5,5,2,0.4,-4862.5
2024-04-03,172.5,3,1,0.3333333333333333,-4690.0
2024-04-04,3417.5,9,7,0.7777777777777778,-1272.5
2024-04-05,-735.0,7,2,0.2857142857142857,-2007.5
2024-04-08,597.5,3,3,1.0,-1410.0
2024-04-09,165.0,7,4,0.5714285714285714,-1245.0
2024-04-10,-262.5,5,2,0.4,-1507.5
2024-04-11,172.5,3,1,0.3333333333333333,-1335.0
2024-04-12,-1477.5,8,2,0.25,-2812.5
2024-04-15,-382.5,4,1,0.25,-3195.0
2024-04-16,-435.0,2,0,0.0,-3630.0
2024-04-19,1695.0,6,5,0.8333333333333334,-1935.0
2024-04-22,252.5,2,2,1.0,-1682.5
2024-04-23,47.5,3,1,0.3333333333333333,-1635.0
2024-04-24,-3620.0,4,1,0.25,-5255.0
2024-04-26,-615.0,3,1,0.3333333333333333,-5870.0
2024-04-29,165.0,2,1,0.5,-5705.0
2024-04-30,-360.0,2,0,0.0,-6065.0
2024-05-01,1990.0,7,5,0.7142857142857143,-4075.0
2024-05-02,637.5,5,2,0.4,-3437.5
2024-05-03,-1145.0,4,2,0.5,-4582.5
2024-05-06,-127.5,3,1,0.3333333333333333,-4710.0
2024-05-07,-527.5,3,0,0.0,-5237.5
2024-05-10,32.5,1,1,1.0,-5205.0
2024-05-13,-210.0,2,1,0.5,-5415.0
2024-05-14,-32.5,4,2,0.5,-5447.5
2024-05-15,277.5,2,1,0.5,-5170.0
2024-05-16,177.5,2,2,1.0,-4992.5
2024-05-17,-385.0,2,0,0.0,-5377.5
2024-05-20,-242.5,1,0,0.0,-5620.0
2024-05-21,132.5,1,1,1.0,-5487.5
2024-05-22,142.5,4,1,0.25,-5345.0
2024-05-23,577.5,7,5,0.7142857142857143,-4767.5
2024-05-24,10.0,3,1,0.3333333333333333,-4757.5
2024-05-27,-380.0,6,1,0.16666666666666666,-5137.5
2024-05-31,-72.5,2,1,0.5,-5210.0
2024-06-03,-1220.0,4,0,0.0,-6430.0
2024-06-07,252.5,2,1,0.5,-6177.5
2024-06-10,-132.5,4,2,0.5,-6310.0
2024-06-11,342.5,4,2,0.5,-5967.5
2024-06-12,250.0,5,3,0.6,-5717.5
2024-06-13,-522.5,2,0,0.0,-6240.0
2024-06-14,197.5,3,3,1.0,-6042.5
2024-06-17,-30.0,6,3,0.5,-6072.5
2024-06-18,20.0,1,1,1.0,-6052.5
2024-06-19,-480.0,6,1,0.16666666666666666,-6532.5
2024-06-24,170.0,1,1,1.0,-6362.5
2024-06-25,40.0,2,1,0.5,-6322.5
2024-06-27,180.0,4,1,0.25,-6142.5
2024-06-28,382.5,6,2,0.3333333333333333,-5760.0
2024-07-01,222.5,3,2,0.6666666666666666,-5537.5
2024-07-02,10.0,3,1,0.3333333333333333,-5527.5
2024-07-03,290.0,2,2,1.0,-5237.5
2024-07-04,-207.5,4,0,0.0,-5445.0
2024-07-05,162.5,5,3,0.6,-5282.5
2024-07-08,347.5,3,3,1.0,-4935.0
2024-07-09,-22.5,2,1,0.5,-4957.5
2024-07-10,-475.0,5,1,0.2,-5432.5
2024-07-11,82.5,6,3,0.5,-5350.0
2024-07-12,1267.5,4,2,0.5,-4082.5
2024-07-15,1840.0,2,2,1.0,-2242.5
2024-07-16,-210.0,2,1,0.5,-2452.5
2024-07-17,880.0,4,2,0.5,-1572.5
2024-07-18,1895.0,6,5,0.8333333333333334,322.5
2024-07-19,-692.5,6,2,0.3333333333333333,-370.0
2024-07-22,-130.0,6,2,0.3333333333333333,-500.0
2024-07-23,3307.5,6,5,0.8333333333333334,2807.5
2024-07-24,82.5,6,3,0.5,2890.0
2024-07-25,-1010.0,2,0,0.0,1880.0
2024-07-26,-145.0,4,2,0.5,1735.0
2024-07-29,1800.0,5,5,1.0,3535.0
2024-07-30,4255.0,4,4,1.0,7790.0
2024-07-31,-1040.0,3,0,0.0,6750.0
2024-08-01,-910.0,2,0,0.0,5840.0
2024-08-06,255.0,4,2,0.5,6095.0
2024-08-07,762.5,5,3,0.6,6857.5
2024-08-08,-1092.5,1,0,0.0,5765.0
2024-08-09,1175.0,5,4,0.8,6940.0
2024-08-12,-1885.0,2,0,0.0,5055.0
2024-08-13,-652.5,3,0,0.0,4402.5
2024-08-14,-965.0,3,0,0.0,3437.5
2024-08-20,-255.0,1,0,0.0,3182.5
2024-08-21,1252.5,7,5,0.7142857142857143,4435.0
2024-08-22,-1107.5,4,0,0.0,3327.5
2024-08-27,145.0,1,1,1.0,3472.5
2024-08-28,97.5,3,1,0.3333333333333333,3570.0
2024-08-29,135.0,8,5,0.625,3705.0
2024-08-30,227.5,2,1,0.5,3932.5
