date,pnl,trades,wins,win_rate,cumulative_pnl
2023-09-22,292.5,4,3,0.75,292.5
2023-09-25,302.5,7,4,0.5714285714285714,595.0
2023-09-26,-57.5,9,5,0.5555555555555556,537.5
2023-09-27,-82.5,4,2,0.5,455.0
2023-09-28,-770.0,4,2,0.5,-315.0
2023-09-29,-812.5,5,1,0.2,-1127.5
2023-10-02,1385.0,8,5,0.625,257.5
2023-10-03,587.5,10,5,0.5,845.0
2023-10-04,62.5,5,3,0.6,907.5
2023-10-05,-452.5,3,0,0.0,455.0
2023-10-06,-517.5,1,0,0.0,-62.5
2023-10-09,-872.5,7,1,0.14285714285714285,-935.0
2023-10-13,1115.0,2,1,0.5,180.0
2023-10-16,-867.5,6,2,0.3333333333333333,-687.5
2023-10-17,1177.5,7,4,0.5714285714285714,490.0
2023-10-18,-452.5,3,1,0.3333333333333333,37.5
2023-10-19,-355.0,6,2,0.3333333333333333,-317.5
2023-10-20,485.0,3,2,0.6666666666666666,167.5
2023-10-23,-1282.5,4,1,0.25,-1115.0
2023-10-25,792.5,9,5,0.5555555555555556,-322.5
2023-10-26,-827.5,3,1,0.3333333333333333,-1150.0
2023-10-27,-990.0,8,5,0.625,-2140.0
2023-10-31,-17.5,6,3,0.5,-2157.5
2023-11-01,-692.5,1,0,0.0,-2850.0
2023-11-02,-385.0,2,0,0.0,-3235.0
2023-11-06,-752.5,3,0,0.0,-3987.5
2023-11-07,-522.5,2,0,0.0,-4510.0
2023-11-10,-1070.0,4,2,0.5,-5580.0
2023-11-13,185.0,3,2,0.6666666666666666,-5395.0
2023-11-14,670.0,6,4,0.6666666666666666,-4725.0
2023-11-15,-297.5,2,0,0.0,-5022.5
2023-11-16,85.0,3,1,0.3333333333333333,-4937.5
2023-11-17,452.5,2,2,1.0,-4485.0
2023-11-20,-277.5,3,1,0.3333333333333333,-4762.5
2023-11-21,-127.5,3,1,0.3333333333333333,-4890.0
2023-11-22,1155.0,4,4,1.0,-3735.0
2023-11-23,-157.5,4,2,0.5,-3892.5
2023-11-24,-22.5,2,1,0.5,-3915.0
2023-11-27,52.5,2,2,1.0,-3862.5
2023-11-28,285.0,8,5,0.625,-3577.5
2023-11-29,935.0,3,2,0.6666666666666666,-2642.5
2023-11-30,-185.0,2,1,0.5,-2827.5
2023-12-01,-527.5,3,1,0.3333333333333333,-3355.0
2023-12-04,55.0,4,2,0.5,-3300.0
2023-12-05,-480.0,6,4,0.6666666666666666,-3780.0
2023-12-06,592.5,4,3,0.75,-3187.5
2023-12-07,385.0,3,2,0.6666666666666666,-2802.5
2023-12-08,-212.5,5,2,0.4,-3015.0
