,equity
0,0.0
1,-55.0
2,-10.0
3,147.5
4,5.0
5,-62.5
6,1395.0
7,1490.0
8,1335.0
9,1467.5
10,1637.5
11,1845.0
12,1390.0
13,872.5
14,980.0
15,700.0
16,95.0
17,-97.5
18,60.0
19,805.0
20,937.5
21,1045.0
22,1577.5
23,1947.5
24,3005.0
25,3137.5
26,3020.0
27,3177.5
28,2660.0
29,2692.5
30,2387.5
31,2220.0
32,1690.0
33,1685.0
34,1230.0
35,812.5
36,770.0
37,465.0
38,260.0
39,-32.5
40,-87.5
41,-467.5
42,-472.5
43,-552.5
44,-607.5
45,-650.0
46,-530.0
47,-747.5
48,-1927.5
49,-1532.5
50,-1737.5
51,-2080.0
52,-2197.5
53,-1952.5
54,-2220.0
55,-2000.0
56,-2530.0
57,-2985.0
58,-2440.0
59,-2507.5
60,-2112.5
61,-1842.5
62,-1560.0
63,-1077.5
64,-1182.5
65,-1487.5
66,-1680.0
67,-1247.5
68,-952.5
69,-970.0
70,-612.5
71,-1055.0
72,-1110.0
73,-1227.5
74,-1195.0
75,-1400.0
76,-1580.0
77,-1872.5
78,-2052.5
79,-2045.0
80,-2050.0
81,-2105.0
82,-1985.0
83,-1727.5
84,-1682.5
85,-1987.5
86,-2017.5
87,-2097.5
88,-2165.0
89,-2332.5
90,-2612.5
91,-2567.5
92,-2772.5
93,-2965.0
94,-2870.0
95,-2612.5
96,-2817.5
97,-3272.5
98,-3665.0
99,-3582.5
100,-3687.5
101,-4667.5
102,-4560.0
103,-4302.5
104,-4182.5
105,-4287.5
106,-4442.5
107,-4460.0
108,-4352.5
109,-4507.5
110,-4450.0
111,-3605.0
112,-3972.5
113,-4190.0
114,-4457.5
115,-4525.0
116,-4505.0
117,-4435.0
118,-4240.0
119,-4320.0
120,-4425.0
121,-4305.0
122,-4197.5
123,-4190.0
124,-4320.0
125,-4350.0
126,-4380.0
127,-4422.5
128,-4177.5
129,-4182.5
130,-4050.0
131,-3442.5
132,-3460.0
133,-3752.5
134,-3720.0
135,-4037.5
136,-4280.0
137,-4122.5
138,-4190.0
139,-4032.5
140,-3950.0
141,-3717.5
142,-3960.0
143,-3915.0
144,-3832.5
145,-3400.0
146,-3905.0
147,-4485.0
148,-3952.5
149,-3820.0
150,-5025.0
151,-5017.5
152,-4735.0
153,-4702.5
154,-4795.0
155,-4687.5
156,-4692.5
157,-4522.5
158,-4165.0
159,-4032.5
160,-4050.0
161,-3980.0
162,-4047.5
163,-4027.5
164,-4195.0
165,-4225.0
166,-4255.0
167,-3722.5
168,-3852.5
169,-4282.5
170,-4062.5
171,-4292.5
172,-4322.5
173,-3915.0
174,-295.0
175,262.5
176,45.0
177,227.5
178,-65.0
179,42.5
180,62.5
181,7.5
182,152.5
183,-365.0
184,-520.0
185,-800.0
186,-1242.5
187,-1147.5
188,-990.0
189,-757.5
190,-850.0
191,-1392.5
192,-1197.5
193,-1365.0
194,-1657.5
195,-1950.0
196,-1967.5
197,-1435.0
198,-1265.0
199,-995.0
200,-512.5
201,-42.5
202,-235.0
203,-277.5
204,-307.5
205,-625.0
206,-1042.5
207,-497.5
208,-390.0
209,-795.0
210,-1100.0
211,-1142.5
212,-635.0
213,-415.0
214,-520.0
215,-825.0
216,-1105.0
217,-1022.5
218,-1002.5
219,-982.5
220,-1487.5
221,-1655.0
222,-1472.5
223,-1390.0
224,-820.0
225,-837.5
226,-1630.0
227,-1260.0
228,-1352.5
229,-1545.0
230,-1787.5
231,-1417.5
232,-1710.0
233,-2227.5
234,-2145.0
235,-2200.0
236,-2292.5
237,-2597.5
238,-2927.5
239,-2857.5
240,-2875.0
241,-2880.0
242,-6047.5
243,-6140.0
244,-6445.0
245,-6137.5
246,-5867.5
247,-6247.5
248,-6252.5
249,-6257.5
250,-6112.5
251,-5880.0
252,-5847.5
253,-5840.0
254,-5882.5
255,-5962.5
256,-5717.5
257,-5497.5
258,-5015.0
259,-4245.0
260,-3825.0
261,-4192.5
262,-4160.0
263,-3565.0
264,-3482.5
265,-3625.0
266,-3917.5
267,-4035.0
268,-4090.0
269,-3932.5
270,-4087.5
271,-4242.5
272,-3785.0
273,-3877.5
274,-3445.0
275,-3900.0
276,-3730.0
277,-3822.5
278,-4102.5
279,-3932.5
280,-3375.0
281,-3680.0
282,-3372.5
283,-3665.0
284,-3895.0
285,-2350.0
286,-2630.0
287,-2685.0
288,-3002.5
289,-3182.5
290,-3612.5
291,-3805.0
292,-4085.0
293,-3977.5
294,-4270.0
295,-4225.0
296,-4142.5
297,-4035.0
298,-4040.0
299,-4345.0
300,-4100.0
301,-4092.5
302,-3985.0
303,-4077.5
304,-3982.5
305,-3225.0
306,-3792.5
307,-3810.0
308,-3727.5
309,-3632.5
310,-4000.0
311,-4030.0
312,-3997.5
313,-4140.0
314,-4657.5
315,-4475.0
316,-4305.0
317,-4310.0
318,-4477.5
319,-4607.5
320,-4650.0
321,-4605.0
322,-4135.0
323,-4415.0
324,-4595.0
325,-4862.5
326,-5017.5
327,-4535.0
328,-4690.0
329,-4520.0
330,-4487.5
331,-3580.0
332,-2872.5
333,-2252.5
334,-2632.5
335,-1762.5
336,-1780.0
337,-1272.5
338,-1602.5
339,-1670.0
340,-1787.5
341,-2142.5
342,-1785.0
343,-2090.0
344,-2007.5
345,-1875.0
346,-1717.5
347,-1410.0
348,-927.5
349,-432.5
350,-737.5
351,-592.5
352,-685.0
353,-652.5
354,-1245.0
355,-1625.0
356,-1480.0
357,-1860.0
358,-1215.0
359,-1507.5
360,-787.5
361,-880.0
362,-1335.0
363,-1527.5
364,-2082.5
365,-1725.0
366,-1480.0
367,-1647.5
368,-2065.0
369,-2170.0
370,-2812.5
371,-1917.5
372,-2222.5
373,-2915.0
374,-3195.0
375,-3475.0
376,-3630.0
377,-3997.5
378,-3502.5
379,-3020.0
380,-2987.5
381,-2955.0
382,-1935.0
383,-1715.0
384,-1682.5
385,-1412.5
386,-1530.0
387,-1635.0
388,-1677.5
389,-1757.5
390,-1575.0
391,-5255.0
392,-5647.5
393,-5927.5
394,-5870.0
395,-5512.5
396,-5705.0
397,-5910.0
398,-6065.0
399,-6470.0
400,-6325.0
401,-6480.0
402,-6297.5
403,-6240.0
404,-5120.0
405,-4075.0
406,-2905.0
407,-3547.5
408,-2915.0
409,-3145.0
410,-3437.5
411,-3880.0
412,-4747.5
413,-4652.5
414,-4582.5
