,equity
0,0.0
1,370.0
2,452.5
3,885.0
4,992.5
5,1200.0
6,1682.5
7,2015.0
8,2647.5
9,3442.5
10,3850.0
11,3945.0
12,3877.5
13,4122.5
14,4667.5
15,5162.5
16,5420.0
17,5502.5
18,5835.0
19,6080.0
20,6487.5
21,7070.0
22,7315.0
23,7222.5
24,7480.0
25,7562.5
26,7695.0
27,7852.5
28,7897.5
29,7842.5
30,7975.0
31,8457.5
32,8827.5
33,9435.0
34,9792.5
35,10000.0
36,10320.0
37,10752.5
38,11022.5
39,11055.0
40,11600.0
41,12182.5
42,12377.5
43,12385.0
44,12505.0
45,12512.5
46,12770.0
47,12677.5
48,12810.0
49,12992.5
50,13300.0
51,13795.0
52,13965.0
53,14372.5
54,14842.5
55,15175.0
56,14957.5
57,15177.5
58,15422.5
59,15692.5
60,15825.0
61,15982.5
62,16627.5
63,17022.5
64,16567.5
65,16762.5
66,16232.5
67,16152.5
68,16247.5
69,16005.0
70,16775.0
71,17520.0
72,17890.0
73,18222.5
74,18392.5
75,18612.5
76,18982.5
77,20040.0
78,20460.0
79,20855.0
80,20987.5
81,21370.0
82,21790.0
83,21885.0
84,22155.0
85,22162.5
86,22032.5
87,22515.0
88,22635.0
89,23242.5
90,23787.5
91,24070.0
92,24490.0
93,25160.0
94,25355.0
95,25500.0
96,26057.5
97,26552.5
98,26797.5
99,26842.5
100,27287.5
101,27357.5
102,27402.5
103,27485.0
104,27642.5
105,27625.0
106,28082.5
107,28465.0
108,29097.5
109,29580.0
110,29200.0
111,29320.0
112,29902.5
113,30572.5
114,30642.5
115,30500.0
116,30857.5
117,30927.5
118,30897.5
119,31292.5
120,31587.5
121,31782.5
122,32365.0
123,33235.0
124,33492.5
125,33812.5
126,34295.0
127,34652.5
128,34985.0
129,34892.5
130,35000.0
131,35157.5
132,35302.5
133,35272.5
134,35467.5
135,36000.0
136,36220.0
137,36215.0
138,36597.5
139,36830.0
140,36912.5
141,36895.0
142,37065.0
143,37722.5
144,38067.5
145,38412.5
146,38295.0
147,38640.0
148,39160.0
149,39217.5
150,39275.0
151,39482.5
152,39665.0
153,39560.0
154,39830.0
155,39937.5
156,40220.0
157,40240.0
158,40460.0
159,40692.5
160,40975.0
161,40957.5
162,41640.0
163,41947.5
164,42192.5
165,42575.0
166,42557.5
167,43127.5
168,43360.0
169,43517.5
170,44012.5
171,44107.5
172,44477.5
173,45122.5
174,45267.5
175,45750.0
176,45820.0
177,46315.0
178,46310.0
179,44830.0
180,44987.5
181,45620.0
182,45665.0
183,45772.5
184,45842.5
185,45987.5
186,46445.0
187,46552.5
188,46647.5
189,46705.0
190,47087.5
191,47632.5
192,48340.0
193,48497.5
194,48530.0
