fold,entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,signal_prob,bet_size,bars_held
1,2023-09-18 19:20:00+00:00,2023-09-19 13:50:00+00:00,LONG,1,4497.25,4490.0,-362.5,5.0,12.5,-380.0,0.5105879130311486,0.44404819613616797,12
1,2023-09-18 19:25:00+00:00,2023-09-19 13:55:00+00:00,LONG,1,4500.0,4485.5,-725.0,5.0,12.5,-742.5,0.52154175850638,0.4836977348194468,12
1,2023-09-20 15:20:00+00:00,2023-09-20 16:20:00+00:00,LONG,1,4497.25,4498.75,75.0,5.0,12.5,57.5,0.572862380574505,0.6611955826016374,12
1,2023-09-20 16:35:00+00:00,2023-09-20 17:35:00+00:00,LONG,1,4501.75,4495.5,-312.5,5.0,12.5,-330.0,0.5148218930425336,0.41898878234995773,12
1,2023-09-21 18:05:00+00:00,2023-09-21 19:05:00+00:00,LONG,2,4399.0,4389.0,-1000.0,10.0,25.0,-1035.0,0.5287342086908003,0.7292192012244699,12
1,2023-09-22 16:35:00+00:00,2023-09-22 17:35:00+00:00,LONG,1,4394.25,4373.0,-1062.5,5.0,12.5,-1080.0,0.5394571904554037,0.6383862748348664,12
2,2023-09-25 18:10:00+00:00,2023-09-25 19:10:00+00:00,LONG,1,4369.75,4362.0,-387.5,5.0,12.5,-405.0,0.5306483492893445,0.34578888780185035,12
2,2023-09-25 18:15:00+00:00,2023-09-25 19:15:00+00:00,LONG,1,4369.75,4370.0,12.5,5.0,12.5,-5.0,0.5354274610857102,0.610595006974715,12
3,2023-10-02 18:20:00+00:00,2023-10-02 19:20:00+00:00,LONG,2,4307.0,4312.0,500.0,10.0,25.0,465.0,0.577312532832065,0.7114077956092487,12
3,2023-10-02 18:45:00+00:00,2023-10-02 19:45:00+00:00,LONG,1,4301.5,4312.25,537.5,5.0,12.5,520.0,0.5038912219751763,0.6514612583017675,12
3,2023-10-03 18:50:00+00:00,2023-10-03 19:50:00+00:00,LONG,1,4262.75,4260.75,-100.0,5.0,12.5,-117.5,0.5334817248459781,0.4205592215636174,12
3,2023-10-03 18:55:00+00:00,2023-10-03 19:55:00+00:00,LONG,1,4261.0,4266.5,275.0,5.0,12.5,257.5,0.5339481667950084,0.5018324865904059,12
3,2023-10-03 19:00:00+00:00,2023-10-04 13:30:00+00:00,LONG,1,4261.5,4276.25,737.5,5.0,12.5,720.0,0.5394776126204665,0.49001939031478037,12
3,2023-10-03 19:15:00+00:00,2023-10-04 13:45:00+00:00,LONG,1,4257.75,4274.25,825.0,5.0,12.5,807.5,0.501752583718203,0.318900655873868,12
3,2023-10-03 19:25:00+00:00,2023-10-04 13:55:00+00:00,LONG,1,4255.75,4274.75,950.0,5.0,12.5,932.5,0.5099479794724202,0.5850171741841323,12
3,2023-10-05 13:55:00+00:00,2023-10-05 14:55:00+00:00,LONG,2,4287.75,4266.0,-2175.0,10.0,25.0,-2210.0,0.5632811833383885,0.8182323347531941,12
3,2023-10-09 14:10:00+00:00,2023-10-09 15:10:00+00:00,LONG,1,4328.75,4323.0,-287.5,5.0,12.5,-305.0,0.5111382737104149,0.16903779171618452,12
4,2023-10-09 14:45:00+00:00,2023-10-09 15:45:00+00:00,LONG,1,4318.0,4331.75,687.5,5.0,12.5,670.0,0.5695668778236376,0.5028850646737308,12
4,2023-10-09 14:50:00+00:00,2023-10-09 15:50:00+00:00,LONG,1,4319.5,4333.75,712.5,5.0,12.5,695.0,0.5497241365859612,0.347666913325126,12
4,2023-10-09 14:55:00+00:00,2023-10-09 15:55:00+00:00,LONG,1,4319.75,4336.5,837.5,5.0,12.5,820.0,0.5337373097413292,0.4072447985821085,12
4,2023-10-10 15:20:00+00:00,2023-10-10 16:20:00+00:00,LONG,1,4411.5,4416.0,225.0,5.0,12.5,207.5,0.55234175486445,0.483345156418471,12
