min_vol_expansion_prob,min_breakout_prob,tp_atr_mult_base,sl_atr_mult_base,net_pnl,trades,win_rate,profit_factor,sharpe
0.4,0.45,2.5,1.25,143475.4236188798,1981,0.4331145885916204,1.4307513170506558,4.561104170581395
0.4,0.55,2.5,1.25,142342.2152222507,1907,0.43418982695332986,1.446671578890434,4.554145713970467
0.4,0.5,2.5,1.25,142251.46403164137,1954,0.4329580348004094,1.4333056706750227,4.5420093714896925
0.4,0.45,2.5,1.0,137212.36302146717,1981,0.39121655729429583,1.4702377791422523,4.855257390473519
0.4,0.5,2.5,1.0,136042.49335289677,1954,0.390992835209826,1.4729831227295866,4.842389949488171
0.4,0.55,2.5,1.0,134797.09730371076,1907,0.3917147351861563,1.4819610771598686,4.814234945155879
0.4,0.45,2.5,0.75,125321.93120395043,1981,0.3402322059565876,1.5128983202984323,5.449787870845264
0.5,0.45,2.5,1.25,124339.75319612857,1732,0.43187066974595845,1.4331530578631768,4.430100236600171
0.5,0.45,2.5,1.0,124213.67337620801,1732,0.3931870669745958,1.4973378407919171,4.9359384282014345
0.4,0.5,2.5,0.75,123170.619580342,1954,0.33930399181166837,1.510752731202065,5.409155618870373
0.5,0.55,2.5,1.25,123063.01467361275,1667,0.4325134973005399,1.4480717924451791,4.420588713030314
0.5,0.5,2.5,1.0,122450.33738963174,1707,0.39250146455770357,1.4973944705768711,4.896004514467797
0.5,0.5,2.5,1.25,122381.50071138269,1707,0.4311657879320445,1.4324383096481,4.3767724486303585
0.4,0.55,2.5,0.75,122176.87792577683,1907,0.340325117986366,1.520898741946666,5.354492370016625
0.5,0.55,2.5,1.0,122037.10252215221,1667,0.3935212957408518,1.5100445184586166,4.898169500436809
0.6,0.45,2.5,1.0,112209.33539319751,1576,0.39276649746192893,1.4994813702604655,4.886620300648868
0.5,0.45,2.5,0.75,111854.02865405616,1732,0.3406466512702079,1.5340056107787508,5.42448380751671
0.6,0.45,2.5,1.25,111675.23503729457,1576,0.43083756345177665,1.4322439087391992,4.366403282341184
0.6,0.5,2.5,1.0,110157.64481938942,1552,0.3917525773195876,1.4976257100956285,4.828706874284022
0.6,0.55,2.5,1.25,109463.13846856903,1515,0.431023102310231,1.4426657231709563,4.306673339476896
0.6,0.5,2.5,1.25,109360.30931850894,1552,0.42976804123711343,1.4294292043716286,4.292930025429678
0.6,0.55,2.5,1.0,109353.79732967765,1515,0.3927392739273927,1.5080719097253517,4.8042766695646275
0.5,0.55,2.5,0.75,109329.89522917033,1667,0.34073185362927416,1.5441765104672418,5.34444498844831
0.5,0.5,2.5,0.75,109250.07729194334,1707,0.3391915641476274,1.5284692301966891,5.356613808279481
0.6,0.45,2.5,0.75,103470.81052823848,1576,0.342005076142132,1.5507468585551298,5.46941982702275
0.6,0.5,2.5,0.75,100646.82322570177,1552,0.3402061855670103,1.542978227382108,5.381102896615829
0.6,0.55,2.5,0.75,99995.10975186023,1515,0.34125412541254124,1.5546907831877304,5.317144741915937
0.4,0.55,2.0,1.0,77835.77396827663,1907,0.4090194022024122,1.2872635080594448,3.387760502468788
0.4,0.55,2.0,1.25,77639.48751606891,1907,0.4509701101206083,1.2516128670588702,3.0217279575252283
0.4,0.45,2.0,1.0,77419.91966361582,1981,0.4078748107016658,1.2735058276047284,3.3251621210242126
0.4,0.5,2.0,1.0,77353.62549278993,1954,0.4078812691914023,1.2773546109608662,3.3494351283038246
0.4,0.5,2.0,1.25,75749.69426598013,1954,0.44933469805527126,1.238066060702998,2.9360183615902327
0.4,0.45,2.0,1.25,75732.00743897991,1981,0.44926804644119134,1.2344818851462274,2.9158144753899222
0.5,0.55,2.0,1.0,74149.10168187882,1667,0.41211757648470304,1.3208207569351609,3.6277041878345697
0.5,0.45,2.0,1.0,73875.21547792733,1732,0.4110854503464203,1.3057587931843182,3.5642160736275477
0.5,0.5,2.0,1.0,73215.45498909554,1707,0.4106619800820152,1.3075773742406906,3.5624327890439327
0.4,0.45,2.0,0.75,72609.13558961966,1981,0.3553760726905603,1.304730148723705,3.816054222856249
0.4,0.55,2.0,0.75,71968.42800379147,1907,0.35605663345568955,1.3149837173368855,3.8294514501998838
0.4,0.5,2.0,0.75,71561.39946375575,1954,0.3546571136131013,1.3044026713801067,3.808202820551248
0.5,0.55,2.0,1.25,68595.76788615997,1667,0.4505098980203959,1.2585913505300752,2.9958162618376005
0.5,0.45,2.0,0.75,67478.26014379221,1732,0.3568129330254042,1.3310340894541548,3.945701295676532
0.5,0.45,2.0,1.25,67212.4808993676,1732,0.4491916859122402,1.2420552238779188,2.898843056658638
0.5,0.55,2.0,0.75,67077.80944684187,1667,0.35752849430113975,1.343482471366841,3.972209346254699
0.5,0.5,2.0,1.25,66495.87482886035,1707,0.44874048037492675,1.2430225178284013,2.884768699428141
0.6,0.45,2.0,1.0,66187.58462118756,1576,0.4098984771573604,1.3043013232790843,3.4984695476114958
0.5,0.5,2.0,0.75,65977.88427942384,1707,0.35559461042765084,1.3280721419193091,3.911784046809632
0.6,0.55,2.0,1.0,65701.12038817134,1515,0.41056105610561056,1.315737270797318,3.5084890353656806
0.6,0.5,2.0,1.0,65239.46954512395,1552,0.40914948453608246,1.3045421199385046,3.473908466248767
0.6,0.45,2.0,0.75,62151.39511186973,1576,0.35723350253807107,1.3395300949812778,3.9576379545601057
0.6,0.55,2.0,0.75,60799.377063427,1515,0.3570957095709571,1.346535129640873,3.900552775742676
0.6,0.5,2.0,0.75,60430.9833070775,1552,0.3556701030927835,1.3347267016216326,3.895230988102969
0.6,0.55,2.0,1.25,59902.00975832757,1515,0.44818481848184816,1.250532870197651,2.8551869237929273
0.6,0.45,2.0,1.25,59535.46404524853,1576,0.4473350253807107,1.2379721262317824,2.813977732739332
0.6,0.5,2.0,1.25,58462.184740701545,1552,0.44652061855670105,1.237187347947739,2.776694892491367
0.4,0.55,1.5,0.75,18654.870249254534,1907,0.37965390665967486,1.0847563170667949,1.311835722556403
0.4,0.45,1.5,0.75,17625.07894186521,1981,0.37910146390711763,1.0767926001546146,1.2182688452680137
0.4,0.5,1.5,0.75,17013.29181358074,1954,0.3781985670419652,1.0750915439269706,1.195765695788402
0.4,0.55,1.5,1.0,16711.155294821667,1907,0.43471421080230727,1.0644139331556906,0.9668778975305597
0.5,0.55,1.5,1.0,16424.344098943875,1667,0.43431313737252547,1.0738367143489516,1.0661867290662794
0.5,0.55,1.5,0.75,15718.72607047804,1667,0.3767246550689862,1.0829251658512342,1.2420246830072648
0.4,0.5,1.5,1.0,14708.538972098922,1954,0.43346980552712383,1.0550474898886884,0.8452630899670062
0.4,0.45,1.5,1.0,14413.064867585881,1981,0.4336193841494195,1.0531744371240144,0.8190122481711599
0.5,0.5,1.5,1.0,14350.892523334398,1707,0.43292325717633273,1.0626187275420762,0.9265650284728562
0.5,0.45,1.5,0.75,14161.714338455806,1732,0.3758660508083141,1.0715350510833077,1.1033677257033436
0.5,0.45,1.5,1.0,13907.077514421799,1732,0.4330254041570439,1.0597504957375168,0.8882162599485807
0.6,0.55,1.5,0.75,13777.074337004677,1515,0.37557755775577556,1.0807692610338402,1.1689842576557634
0.5,0.5,1.5,0.75,13764.913971831833,1707,0.37492677211482134,1.0705040036419597,1.091240486166702
0.6,0.55,1.5,1.0,13426.581923740669,1515,0.43234323432343236,1.0669553771793532,0.9385477737678237
0.6,0.45,1.5,0.75,13171.629956474833,1576,0.3756345177664975,1.0739823725204198,1.108479972167347
0.6,0.5,1.5,0.75,12554.793649427002,1552,0.3743556701030928,1.0715273088652624,1.0737023337452745
0.6,0.5,1.5,1.0,11906.50942537079,1552,0.43105670103092786,1.0576627327264596,0.8309535131593906
0.6,0.45,1.5,1.0,11751.04900368999,1576,0.43147208121827413,1.0560185765639598,0.8118823638768317
0.4,0.55,1.5,1.25,10690.613170585362,1907,0.47718930256948083,1.0363760461917222,0.5420885608802574
0.4,0.5,1.5,1.25,7249.710916927585,1954,0.47543500511770725,1.0239033499458492,0.3653272142366721
0.4,0.45,1.5,1.25,6806.365620334826,1981,0.4755174154467441,1.0221205002736777,0.33982745388546737
0.5,0.55,1.5,1.25,6648.295153894865,1667,0.47330533893221355,1.026164430113343,0.3769423280075209
0.6,0.55,1.5,1.25,4010.017986701624,1515,0.47062706270627064,1.017486709417109,0.24437628267666844
0.5,0.5,1.5,1.25,3377.9560574361276,1707,0.4715875805506737,1.0128816297320036,0.19007305137410174
0.5,0.45,1.5,1.25,2852.9157137047887,1732,0.47170900692840645,1.0107137910169681,0.15926820260009278
0.6,0.5,1.5,1.25,1481.1301574201852,1552,0.4690721649484536,1.0062632015421873,0.08995094158077643
0.6,0.45,1.5,1.25,1312.7630477285902,1576,0.46954314720812185,1.005465778931441,0.07915326645413924
